"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"39","D","42","1x",61,10,17,34,126,0.0793650793650794,0.134920634920635,0.26984126984127,0.484126984126984,8.00418818990673,13.8346309546197,30.1853787129227,52.0241978574491
"40","A","217","2x",143,12,51,80,378,0.0317460317460317,0.134920634920635,0.211640211640212,0.378306878306878,3.17887938713117,13.8346309546197,22.5840874343174,39.5975977760682
"40","B","217","2x",123,20,44,59,234,0.0854700854700855,0.188034188034188,0.252136752136752,0.525641025641026,8.63174868311855,19.7736230959018,27.7510246122933,56.1563963913137
"40","C","217","2x",116,8,50,58,219,0.0365296803652968,0.228310502283105,0.264840182648402,0.529680365296804,3.65948837755929,24.6516902418329,29.4850385898858,57.7962172092779
"40","D","217","2x",174,20,67,87,340,0.0588235294117647,0.197058823529412,0.255882352941176,0.511764705882353,5.90971945160576,20.8332788226374,28.2558869274655,54.9988852017087
"41","A","217","1x",127,13,49,65,289,0.0449826989619377,0.169550173010381,0.224913494809689,0.439446366782007,4.51046516619672,17.6537816245788,24.2241679425477,46.3884147333232
"41","B","217","1x",97,11,36,50,196,0.0561224489795918,0.183673469387755,0.255102040816327,0.494897959183673,5.635994089364,19.2676353726455,28.1502815714056,53.0539110334151
"41","C","217","1x",140,17,46,77,287,0.0592334494773519,0.160278745644599,0.268292682926829,0.48780487804878,5.95129086006239,16.613416162967,29.9673936806273,52.5321007036567
"41","D","217","1x",124,4,51,69,241,0.016597510373444,0.211618257261411,0.286307053941909,0.514522821576763,1.66036107247518,22.5814128508812,32.5701804213198,56.8119543446761
"42","A","217","0.5x",45,3,10,32,113,0.0265486725663717,0.0884955752212389,0.283185840707965,0.398230088495575,2.65736646624058,8.94374087671245,32.1082358615801,43.7093432045331
"42","B","217","0.5x",60,11,21,28,123,0.0894308943089431,0.170731707317073,0.227642276422764,0.48780487804878,9.04033063948288,17.7874079807035,24.5673296612447,51.3950682814312
"42","C","217","0.5x",67,16,24,27,108,0.148148148148148,0.222222222222222,0.25,0.62037037037037,15.2727270580743,23.8877861256859,27.4653072167027,66.625820400463
"42","D","217","0.5x",50,4,20,26,115,0.0347826086956522,0.173913043478261,0.226086956521739,0.434782608695652,3.48388802276278,18.1484250845734,24.3714771506306,46.0037902579667
"43","A","42","1x",138,18,54,66,274,0.0656934306569343,0.197080291970803,0.240875912408759,0.503649635036496,6.60754059519294,20.8358205062508,26.2631525500118,53.7065136514555
"43","B","42","1x",87,26,21,40,164,0.158536585365854,0.128048780487805,0.24390243902439,0.530487804878049,16.4194884097268,13.0963781014081,26.6587856612472,56.1746521723821
"43","C","42","1x",95,21,34,40,190,0.110526315789474,0.178947368421053,0.210526315789474,0.5,11.2381274475549,18.723463504709,22.448539830149,52.4101307824129
"43","D","42","1x",169,22,74,73,360,0.0611111111111111,0.205555555555556,0.202777777777778,0.469444444444444,6.14181660935595,21.8473793226617,21.5140163566404,49.503212288658
"44","A","217","1x",126,12,39,75,328,0.0365853658536585,0.11890243902439,0.228658536585366,0.384146341463415,3.66508685479689,12.1223060434872,24.6956795549843,40.4830724532683
"44","B","217","1x",118,17,36,65,259,0.0656370656370656,0.138996138996139,0.250965250965251,0.455598455598456,6.60180517031618,14.2752439630619,27.5941734814193,48.4712226147974
"44","C","217","1x",130,24,42,64,276,0.0869565217391304,0.152173913043478,0.231884057971014,0.471014492753623,8.78494717094721,15.7152164855594,25.1050651049259,49.6052287614324
"44","D","217","1x",126,24,42,60,218,0.110091743119266,0.192660550458716,0.275229357798165,0.577981651376147,11.1924467932859,20.314680435599,30.9519604203112,62.4590876491961
"45","A","217","0.5x",62,8,15,39,154,0.051948051948052,0.0974025974025974,0.253246753246753,0.402597402597403,5.21361879732643,9.86635480009872,27.9001007844995,42.9800743819246
"45","B","217","0.5x",61,3,34,24,141,0.0212765957446809,0.24113475177305,0.170212765957447,0.432624113475177,2.12894520850767,26.2968702704105,17.7286880476597,46.1545035265778
"45","C","217","0.5x",48,2,24,22,84,0.0238095238095238,0.285714285714286,0.261904761904762,0.571428571428571,2.38275449510812,32.4820746032565,29.078770245142,63.9435993435067
"45","D","217","0.5x",80,8,32,40,172,0.0465116279069767,0.186046511627907,0.232558139534884,0.465116279069767,4.6646488895103,19.5425144475348,25.1910127615596,49.3981760986046
"46","A","42","0.5x",60,19,27,14,91,0.208791208791209,0.296703296703297,0.153846153846154,0.659340659340659,22.2380122702388,34.1453957444088,15.8997191679999,72.2831271826474
"46","B","42","0.5x",106,25,34,47,142,0.176056338028169,0.23943661971831,0.330985915492958,0.746478873239437,18.3926698744685,26.0760609378325,39.815769852943,84.284500665244
"46","C","42","0.5x",31,8,9,14,64,0.125,0.140625,0.21875,0.484375,12.7706405941498,14.451946269379,23.4567409648233,50.679327828352
"46","D","42","0.5x",26,2,12,12,63,0.0317460317460317,0.19047619047619,0.19047619047619,0.412698412698413,3.17887938713117,20.0586618131234,20.0586618131234,43.296203013378
"47","A","217","0.5x",167,9,45,113,414,0.0217391304347826,0.108695652173913,0.272946859903382,0.403381642512077,2.17528442474074,11.045818806976,30.6256553380942,43.8467585698109
"47","B","217","0.5x",121,7,45,69,240,0.0291666666666667,0.1875,0.2875,0.504166666666667,2.91998169365627,19.7114340091068,32.7480345583829,55.3794502611459
"47","C","217","0.5x",91,13,28,50,175,0.0742857142857143,0.16,0.285714285714286,0.52,7.48396505284042,16.5823554352566,32.4820746032565,56.5483950913535
"47","D","217","0.5x",167,18,54,95,355,0.0507042253521127,0.152112676056338,0.267605633802817,0.470422535211268,5.08791143001303,15.7084679364564,29.8710080190666,50.667387385536
"49","A","42","2x",50,5,25,20,107,0.0467289719626168,0.233644859813084,0.186915887850467,0.467289719626168,4.68657390735933,25.329863437844,19.6434991846943,49.6599365298975
"49","B","42","2x",54,1,30,23,112,0.00892857142857143,0.267857142857143,0.205357142857143,0.482142857142857,0.892952065051981,29.9062689558006,21.8235072750135,52.6227282958662
"49","C","42","2x",63,10,32,21,123,0.0813008130081301,0.260162601626016,0.170731707317073,0.51219512195122,8.20289105075679,28.8392793237217,17.7874079807035,54.829578355182
"49","D","42","2x",23,2,11,10,41,0.0487804878048781,0.268292682926829,0.24390243902439,0.560975609756098,4.89361442815238,29.9673936806273,26.6587856612472,61.5197937700269
"50","A","42","2x",80,5,35,40,175,0.0285714285714286,0.2,0.228571428571429,0.457142857142857,2.86025877944361,21.1824465096801,24.6846663389471,48.7273716280708
"50","B","42","2x",80,4,34,42,123,0.032520325203252,0.276422764227642,0.341463414634146,0.650406504065041,3.25662987094753,31.123506070354,41.7289286783931,76.1090646196946
"50","C","42","2x",153,35,60,58,286,0.122377622377622,0.20979020979021,0.202797202797203,0.534965034965035,12.4913080791966,22.3591342811297,21.516341289219,56.3667836495454
"50","D","42","2x",60,14,24,22,125,0.112,0.192,0.176,0.48,11.3931735722263,20.2371543161024,18.3862390062659,50.0165668945946
"51","A","42","0.5x",76,10,33,33,145,0.0689655172413793,0.227586206896552,0.227586206896552,0.524137931034483,6.94079341495699,24.5602570252261,24.5602570252261,56.0613074654092
"51","B","42","0.5x",73,14,25,34,135,0.103703703703704,0.185185185185185,0.251851851851852,0.540740740740741,10.5230341586214,19.4426142147002,27.7128339912705,57.6784823645921
"51","C","42","0.5x",60,9,26,25,104,0.0865384615384615,0.25,0.240384615384615,0.576923076923077,8.74184371199372,27.4653072167027,26.1992138962339,62.4063648249303
